"foodId","image","label","category","categoryLabel"
"food_a656mk2a5dmqb2adiamu6beihduu","https://www.edamam.com/food-img/a71/a718cf3c52add522128929f1f324d2ab.jpg","Champagne","Generic foods","food"
"food_b753ithamdb8psbt0w2k9aquo06c",,"Champagne Vinaigrette, Champagne","Packaged foods","food"
"food_b3dyababjo54xobm6r8jzbghjgqe","https://www.edamam.com/food-img/d88/d88b64d97349ed062368972113124e35.jpg","Champagne Vinaigrette, Champagne","Packaged foods","food"
"food_a9e0ghsamvoc45bwa2ybsa3gken9",,"Champagne Vinaigrette, Champagne","Packaged foods","food"
"food_an4jjueaucpus2a3u1ni8auhe7q9",,"Champagne Vinaigrette, Champagne","Packaged foods","food"
"food_bmu5dmkazwuvpaa5prh1daa8jxs0","https://www.edamam.com/food-img/ab2/ab2459fc2a98cd35f68b848be2337ecb.jpg","Champagne Dressing, Champagne","Packaged foods","food"
"food_alpl44taoyv11ra0lic1qa8xculi",,"Champagne Buttercream","Generic meals","meal"
"food_byap67hab6evc3a0f9w1oag3s0qf",,"Champagne Sorbet","Generic meals","meal"
"food_am5egz6aq3fpjlaf8xpkdbc2asis",,"Champagne Truffles","Generic meals","meal"
"food_bcz8rhiajk1fuva0vkfmeakbouc0",,"Champagne Vinaigrette","Generic meals","meal"
